Country;Athlete;Sport;Games;Gold;Silver;Bronze;YearOfBirth
Germany; Sascha Benecken; Luge; 0; 1; 0; 3; 1990
Germany; Eric Frenzel; Nordic Combined; 0; 1; 0; 4; 1988
United States of America; Kelly Pannek; Ice Hockey; 0; 1; 0; 2; 1995
United States of America; Jincy Dunne; Ice Hockey; 0; 1; 0; 1; 1997
France; Julia Simon; Biathlon; 0; 1; 0; 1; 1996
Great Britain; Bobby Lammie; Curling; 0; 1; 0; 1; 1997
United States of America; Amanda Kessel; Ice Hockey; 0; 1; 0; 3; 1991
Russian Olympic Committee; Nikita Nesterov; Ice Hockey; 0; 1; 0; 2; 1993
Russian Olympic Committee; Egor Iakovlev; Ice Hockey; 0; 1; 0; 1; 1991
Germany; Linus Strasser; Alpine Skiing; 0; 1; 0; 2; 1992
United States of America; Jesse Compher; Ice Hockey; 0; 1; 0; 1; 1999
United States of America; Abbey Murphy; Ice Hockey; 0; 1; 0; 1; 2002
United States of America; Vincent Zhou; Figure skating; 0; 1; 0; 2; 2000
United States of America; David Wise; Freestyle Skiing; 0; 1; 0; 3; 1990
United States of America; Colby Stevenson; Freestyle Skiing; 0; 1; 0; 1; 1997
United States of America; Nicholas Goepper; Freestyle Skiing; 0; 1; 0; 3; 1994
Sweden; Martin Ponsiluoma; Biathlon; 0; 1; 0; 2; 1995
Republic of Korea; Whi Min Seo; Short Track Speed Skating; 0; 1; 0; 1; 2002
United States of America; Brianna Decker; Ice Hockey; 0; 1; 0; 3; 1991
Russian Olympic Committee; Alexandra Trusova; Figure skating; 0; 1; 0; 1; 2004
Russian Olympic Committee; Irina Avvakumova; Ski Jumping; 0; 1; 0; 3; 1991
Republic of Korea; Janghyuk Park; Short Track Speed Skating; 0; 1; 0; 1; 1998
Germany; Alexander Schmid; Alpine Skiing; 0; 1; 0; 2; 1994
Germany; Christian Rasp; Bobsleigh; 0; 1; 0; 2; 1989
Russian Olympic Committee; Irma Makhinia; Ski Jumping; 0; 1; 0; 1; 2002
Norway; Kristin Skaslien; Curling; 0; 1; 0; 2; 1986
Russian Olympic Committee; Aleksandr Samonov; Ice Hockey; 0; 1; 0; 1; 1995
United States of America; Julia Marino; Snowboard; 0; 1; 0; 2; 1997
Germany; Emma Aicher; Alpine Skiing; 0; 1; 0; 1; 2003
United States of America; Alex Carpenter; Ice Hockey; 0; 1; 0; 2; 1994
Russian Olympic Committee; Daniil Aldoshkin; Speed skating; 0; 1; 0; 1; 2001
Germany; Axel Jungk; Skeleton; 0; 1; 0; 2; 1991
Italy; Martina Valcepina; Short Track Speed Skating; 0; 1; 0; 4; 1992
Canada; Cassie Sharpe; Freestyle Skiing; 0; 1; 0; 2; 1992
Norway; Magnus Nedregotten; Curling; 0; 1; 0; 2; 1990
France; Simon Desthieux; Biathlon; 0; 1; 0; 1; 1991
Germany; Mariama Jamanka; Bobsleigh; 0; 1; 0; 2; 1990
Russian Olympic Committee; Nikita Katsalapov; Figure skating; 0; 1; 0; 2; 1991
Germany; Katherine Sauerbrey; Cross Country Skiing; 0; 1; 0; 1; 1997
Russian Olympic Committee; Svetlana Mironova; Biathlon; 0; 1; 0; 1; 1994
Japan; Yumi Suzuki; Curling; 0; 1; 0; 2; 1991
Russian Olympic Committee; Sergei Plotnikov; Ice Hockey; 0; 1; 0; 1; 1990
United States of America; Ryan Cochran-siegle; Alpine Skiing; 0; 1; 0; 2; 1992
Russian Olympic Committee; Artem Minulin; Ice Hockey; 0; 1; 0; 1; 1998
Russian Olympic Committee; Alexander Elesin; Ice Hockey; 0; 1; 0; 1; 1996
Russian Olympic Committee; Artur Kayumov; Ice Hockey; 0; 1; 0; 1; 1998
Finland; Joni Maeki; Cross Country Skiing; 0; 1; 0; 1; 1995
Germany; Julian Schmid; Nordic Combined; 0; 1; 0; 1; 1999
Russian Olympic Committee; Danil Sadreev; Ski Jumping; 0; 1; 0; 1; 2003
Great Britain; Hammy Mcmillan; Curling; 0; 1; 0; 1; 1992
Russian Olympic Committee; Konstantin Ivliev; Short Track Speed Skating; 0; 1; 0; 1; 2000
Russian Olympic Committee; Irina Kazakevich; Biathlon; 0; 1; 0; 1; 1997
Russian Olympic Committee; Kirill Semenov; Ice Hockey; 0; 1; 0; 1; 1994
Russian Olympic Committee; Damir Sharipzianov; Ice Hockey; 0; 1; 0; 1; 1996
United States of America; Jaelin Kauf; Freestyle Skiing; 0; 1; 0; 2; 1996
Austria; Mirjam Puchner; Alpine Skiing; 0; 1; 0; 1; 1992
Republic of Korea; Juneseo Lee; Short Track Speed Skating; 0; 1; 0; 1; 2000
Slovenia; Tim Mastnak; Snowboard; 0; 1; 0; 2; 1991
Norway; Paal Golberg; Cross Country Skiing; 0; 1; 0; 3; 1990
Canada; Marielle Thompson; Freestyle Skiing; 0; 1; 0; 3; 1992
United States of America; Megan Keller; Ice Hockey; 0; 1; 0; 2; 1996
Russian Olympic Committee; Vladimir Tkachev; Ice Hockey; 0; 1; 0; 1; 1993
Slovenia; Cene Prevc; Ski Jumping; 0; 1; 0; 1; 1996
Belarus; Anton Smolski; Biathlon; 0; 1; 0; 2; 1996
Russian Olympic Committee; Arseniy Gritsyuk; Ice Hockey; 0; 1; 0; 1; 2001
Russian Olympic Committee; Ruslan Zakharov; Speed skating; 0; 1; 0; 3; 1987
Germany; Katharina Althaus; Ski Jumping; 0; 1; 0; 1; 1996
Russian Olympic Committee; Evgeniy Klimov; Ski Jumping; 0; 1; 0; 3; 1994
United States of America; Cayla Barnes; Ice Hockey; 0; 1; 0; 2; 1999
United States of America; Maddie Rooney; Ice Hockey; 0; 1; 0; 2; 1997
Canada; Mikael Kingsbury; Freestyle Skiing; 0; 1; 0; 3; 1992
Russian Olympic Committee; Nikita Gusev; Ice Hockey; 0; 1; 0; 2; 1992
Japan; Chinami Yoshida; Curling; 0; 1; 0; 3; 1991
Australia; Jackie Narracott; Skeleton; 0; 1; 0; 2; 1990
Germany; Manuel Faisst; Nordic Combined; 0; 1; 0; 1; 1993
Germany; Lena Duerr; Alpine Skiing; 0; 1; 0; 2; 1991
United States of America; Lee Stecklein; Ice Hockey; 0; 1; 0; 3; 1994
Republic of Korea; Alang Kim; Short Track Speed Skating; 0; 1; 0; 3; 1995
United States of America; Caroline Harvey; Ice Hockey; 0; 1; 0; 1; 2002
Russian Olympic Committee; Victoria Sinitsina; Figure skating; 0; 1; 0; 2; 1995
Russian Olympic Committee; Sergey Trofimov; Speed skating; 0; 1; 0; 2; 1995
Germany; Alexandra Burghardt; Bobsleigh; 0; 1; 0; 1; 1994
Russian Olympic Committee; Pavel Karnaukhov; Ice Hockey; 0; 1; 0; 1; 1997
Slovenia; Lovro Kos; Ski Jumping; 0; 1; 0; 1; 1999
Austria; Daniela Ulbing; Snowboard; 0; 1; 0; 2; 1998
Italy; Federico Pellegrino; Cross Country Skiing; 0; 1; 0; 3; 1990
Germany; Christopher Weber; Bobsleigh; 0; 1; 0; 2; 1991
People's Republic of China; Wenlong Li; Short Track Speed Skating; 0; 1; 0; 1; 2001
Russian Olympic Committee; Vadim Shipachyov; Ice Hockey; 0; 1; 0; 2; 1987
Russian Olympic Committee; Stanislav Galiev; Ice Hockey; 0; 1; 0; 1; 1992
United States of America; Hilary Knight; Ice Hockey; 0; 1; 0; 4; 1989
Switzerland; Alex Fiva; Freestyle Skiing; 0; 1; 0; 3; 1986
Italy; Sofia Goggia; Alpine Skiing; 0; 1; 0; 2; 1992
Japan; Nana Takagi; Speed skating; 0; 1; 0; 3; 1992
Russian Olympic Committee; Timur Bilialov; Ice Hockey; 0; 1; 0; 1; 1995
Germany; Sofie Krehl; Cross Country Skiing; 0; 1; 0; 1; 1995
Japan; Kotomi Ishizaki; Curling; 0; 1; 0; 3; 1979
Germany; Anna Berreiter; Luge; 0; 1; 0; 1; 1999
Germany; Julian Rauchfuss; Alpine Skiing; 0; 1; 0; 1; 1994
Great Britain; Grant Hardie; Curling; 0; 1; 0; 1; 1992
Norway; Hans Christer Holund; Cross Country Skiing; 0; 1; 0; 2; 1989
Russian Olympic Committee; Eduard Latypov; Biathlon; 0; 0; 3; 1; 
Canada; Meryeta Odine; Snowboard; 0; 0; 2; 2; 1997
Germany; Karl Geiger; Ski Jumping; 0; 0; 2; 2; 1993
Russian Olympic Committee; Alexander Terentev; Cross Country Skiing; 0; 0; 2; 1; 1999
Russian Olympic Committee; Alexander Loginov; Biathlon; 0; 0; 2; 2; 1992
Japan; Akito Watabe; Nordic Combined; 0; 0; 2; 5; 1988
Japan; Kaori Sakamoto; Figure skating; 0; 0; 2; 2; 2000
Netherlands; Antoinette De Jong; Speed skating; 0; 0; 2; 3; 1995
Japan; Shoma Uno; Figure skating; 0; 0; 2; 2; 1997
Norway; Simen Hegstad Krueger; Cross Country Skiing; 0; 0; 1; 2; 1993
Finland; Sofianna Sundelin; Ice Hockey; 0; 0; 1; 1; 2003
Norway; Maria Therese Tviberg; Alpine Skiing; 0; 0; 1; 1; 1994
Germany; Franziska Preuss; Biathlon; 0; 0; 1; 3; 1994
France; Richard Jouve; Cross Country Skiing; 0; 0; 1; 2; 1994
Finland; Eveliina Makinen; Ice Hockey; 0; 0; 1; 1; 1995
United States of America; Joey Mantia; Speed skating; 0; 0; 1; 3; 1986
Canada; Cameron Stones; Bobsleigh; 0; 0; 1; 2; 1992
Canada; Lewis Irving; Freestyle Skiing; 0; 0; 1; 2; 1995
Slovakia; Samuel Knazko; Ice Hockey; 0; 0; 1; 1; 2002
Republic of Korea; Seung Hoon Lee; Speed skating; 0; 0; 1; 4; 1988
Japan; Wakaba Higuchi; Figure skating; 0; 0; 1; 1; 2001
Australia; Tess Coady; Snowboard; 0; 0; 1; 1; 2000
Finland; Jenni Hiirikoski; Ice Hockey; 0; 0; 1; 4; 1987
Russian Olympic Committee; Maxim Tsvetkov; Biathlon; 0; 0; 1; 1; 1992
Canada; Brad Gushue; Curling; 0; 0; 1; 2; 1980
Slovakia; Simon Nemec; Ice Hockey; 0; 0; 1; 1; 2004
Finland; Sanni Hakala; Ice Hockey; 0; 0; 1; 2; 1997
Slovakia; Mislav Rosandic; Ice Hockey; 0; 0; 1; 1; 1995
Slovenia; Gloria Kotnik; Snowboard; 0; 0; 1; 4; 1989
Italy; Dorothea Wierer; Biathlon; 0; 0; 1; 3; 1990
Slovakia; Pavol Regenda; Ice Hockey; 0; 0; 1; 1; 1999
Russian Olympic Committee; Semen Elistratov; Short Track Speed Skating; 0; 0; 1; 1; 1990
Sweden; Almida De Val; Curling; 0; 0; 1; 1; 1997
Norway; Fabian Wilkens Solheim; Alpine Skiing; 0; 0; 1; 1; 1996
Austria; Thomas Steu; Luge; 0; 0; 1; 2; 1994
Sweden; Frida Karlsson; Cross Country Skiing; 0; 0; 1; 1; 1999
Finland; Viivi Vainikka; Ice Hockey; 0; 0; 1; 1; 2001
Slovakia; Matej Tomek; Ice Hockey; 0; 0; 1; 1; 1997
Italy; Dominik Fischnaller; Luge; 0; 0; 1; 3; 1993
Slovakia; Michal Cajkovsky; Ice Hockey; 0; 0; 1; 2; 1992
Norway; Mina Fuerst Holtmann; Alpine Skiing; 0; 0; 1; 1; 1995
Germany; Markus Eisenbichler; Ski Jumping; 0; 0; 1; 2; 1991
Finland; Michelle Karvinen; Ice Hockey; 0; 0; 1; 4; 1990
Japan; Ryota Yamamoto; Nordic Combined; 0; 0; 1; 1; 1997
Slovakia; Samuel Takac; Ice Hockey; 0; 0; 1; 1; 1991
United States of America; Madison Hubbell; Figure skating; 0; 0; 1; 2; 1991
Finland; Julia Liikala; Ice Hockey; 0; 0; 1; 1; 2001
Japan; Sena Tomita; Snowboard; 0; 0; 1; 2; 1999
Poland; Dawid Kubacki; Ski Jumping; 0; 0; 1; 3; 1990
Republic of Korea; Min Seok Kim; Speed skating; 0; 0; 1; 2; 1999
France; Clement Parisse; Cross Country Skiing; 0; 0; 1; 2; 1993
Sweden; Sara Mcmanus; Curling; 0; 0; 1; 2; 1991
Hungary; Zsofia Konya; Short Track Speed Skating; 0; 0; 1; 3; 1995
Latvia; Eliza Tiruma; Luge; 0; 0; 1; 3; 1990
Slovakia; Patrik Rybar; Ice Hockey; 0; 0; 1; 2; 1993
United States of America; Emery Lehman; Speed skating; 0; 0; 1; 3; 1996
Norway; Havard Lorentzen; Speed skating; 0; 0; 1; 3; 1992
Austria; Teresa Stadlober; Cross Country Skiing; 0; 0; 1; 3; 1993
United States of America; Alex Ferreira; Freestyle Skiing; 0; 0; 1; 2; 1994
Canada; Mackenzie Boyd-clowes; Ski Jumping; 0; 0; 1; 4; 1991
Sweden; Sofia Mabergs; Curling; 0; 0; 1; 2; 1993
Canada; Rachel Karker; Freestyle Skiing; 0; 0; 1; 1; 1997
Belgium; Hanne Desmet; Short Track Speed Skating; 0; 0; 1; 1; 1996
Czech Republic; Martina Sablikova; Speed skating; 0; 0; 1; 5; 1987
Germany; Vanessa Hinz; Biathlon; 0; 0; 1; 2; 1992
Canada; Ben Coakwell; Bobsleigh; 0; 0; 1; 3; 1987
Italy; Davide Ghiotto; Speed skating; 0; 0; 1; 2; 1993
Finland; Ronja Savolainen; Ice Hockey; 0; 0; 1; 2; 1997
Germany; Stephan Leyhe; Ski Jumping; 0; 0; 1; 2; 1992
France; Hugo Lapalus; Cross Country Skiing; 0; 0; 1; 1; 1998
Slovakia; Martin Marincin; Ice Hockey; 0; 0; 1; 2; 1992
Finland; Nelli Laitinen; Ice Hockey; 0; 0; 1; 1; 2002
Canada; Marc Kennedy; Curling; 0; 0; 1; 3; 1982
Germany; Matthias Sommer; Bobsleigh; 0; 0; 1; 1; 1991
Austria; Lorenz Koller; Luge; 0; 0; 1; 2; 1994
Canada; Alexandria Loutitt; Ski Jumping; 0; 0; 1; 1; 2004
Latvia; Kristers Aparjods; Luge; 0; 0; 1; 2; 1998
Finland; Anni Keisala; Ice Hockey; 0; 0; 1; 1; 1997
Norway; Thea Louise Stjernesund; Alpine Skiing; 0; 0; 1; 2; 1996
Hungary; Shaolin Sandor Liu; Short Track Speed Skating; 0; 0; 1; 3; 1995
Slovakia; Branislav Konrad; Ice Hockey; 0; 0; 1; 2; 1987
Slovakia; Adrian Holesinsky; Ice Hockey; 0; 0; 1; 1; 1996
United States of America; Casey Dawson; Speed skating; 0; 0; 1; 1; 2000
Slovakia; Peter Ceresnak; Ice Hockey; 0; 0; 1; 2; 1993
Slovakia; Marko Dano; Ice Hockey; 0; 0; 1; 1; 1994
Slovakia; Milos Kelemen; Ice Hockey; 0; 0; 1; 1; 1999
People's Republic of China; Chutong Zhang; Short Track Speed Skating; 0; 0; 1; 1; 2003
Canada; Miha Fontaine; Freestyle Skiing; 0; 0; 1; 1; 2004
Finland; Sanni Vanhanen; Ice Hockey; 0; 0; 1; 1; 2005
Finland; Meeri Raisanen; Ice Hockey; 0; 0; 1; 3; 1989
France; Mathieu Faivre; Alpine Skiing; 0; 0; 1; 3; 1992
Slovakia; Peter Zuzin; Ice Hockey; 0; 0; 1; 1; 1990
Canada; Ryan Sommer; Bobsleigh; 0; 0; 1; 1; 1993
Switzerland; Jan Scherrer; Snowboard; 0; 0; 1; 3; 1994
Netherlands; Kimberley Bos; Skeleton; 0; 0; 1; 2; 1993
People's Republic of China; Wengang Yan; Skeleton; 0; 0; 1; 1; 1997
Russian Olympic Committee; Anastasiia Smirnova; Freestyle Skiing; 0; 0; 1; 1; 2002
Germany; Vanessa Voigt; Biathlon; 0; 0; 1; 1; 1997
Russian Olympic Committee; Vic Wild; Snowboard; 0; 0; 1; 3; 1986
Slovakia; Kristian Pospisil; Ice Hockey; 0; 0; 1; 1; 1996
Russian Olympic Committee; Sergey Ridzik; Freestyle Skiing; 0; 0; 1; 2; 1992
Canada; Mark Mcmorris; Snowboard; 0; 0; 1; 3; 1993
Slovakia; Marek Hrivik; Ice Hockey; 0; 0; 1; 1; 1991
Russian Olympic Committee; Angelina Golikova; Speed skating; 0; 0; 1; 3; 1991
Sweden; Henrik Harlaut; Freestyle Skiing; 0; 0; 1; 3; 1991
Slovakia; Martin Gernat; Ice Hockey; 0; 0; 1; 1; 1993
United States of America; Ethan Cepuran; Speed skating; 0; 0; 1; 1; 2000
United States of America; Megan Nick; Freestyle Skiing; 0; 0; 1; 1; 1996
Russian Olympic Committee; Ilia Burov; Freestyle Skiing; 0; 0; 1; 3; 1991
Finland; Elisa Holopainen; Ice Hockey; 0; 0; 1; 1; 2001
Japan; Ikuma Horishima; Freestyle Skiing; 0; 0; 1; 2; 1997
Canada; Christine De Bruin; Bobsleigh; 0; 0; 1; 2; 1989
Slovakia; Juraj Slafkovsky; Ice Hockey; 0; 0; 1; 1; 2004
Finland; Krista Parmakoski; Cross Country Skiing; 0; 0; 1; 4; 1990
Japan; Wataru Morishige; Speed skating; 0; 0; 1; 1; 2000
Russian Olympic Committee; Anastasia Mishina; Figure skating; 0; 0; 1; 1; 
Germany; Daniela Maier; Freestyle Skiing; 0; 0; 1; 1; 1996
Slovakia; Michal Kristof; Ice Hockey; 0; 0; 1; 2; 1993
United States of America; Sylvia Hoffman; Bobsleigh; 0; 0; 1; 1; 1989
Sweden; Johanna Heldin; Curling; 0; 0; 1; 1; 1994
Finland; Ella Viitasuo; Ice Hockey; 0; 0; 1; 2; 1996
Slovakia; Libor Hudacek; Ice Hockey; 0; 0; 1; 1; 1990
Canada; Marion Thenault; Freestyle Skiing; 0; 0; 1; 1; 2000
Russian Olympic Committee; Said Karimulla Khalili; Biathlon; 0; 0; 1; 1; 1998
Canada; Matthew Soukup; Ski Jumping; 0; 0; 1; 1; 1997
Canada; James Crawford; Alpine Skiing; 0; 0; 1; 2; 1997
Canada; Kim Boutin; Short Track Speed Skating; 0; 0; 1; 2; 1994
Japan; Hideaki Nagai; Nordic Combined; 0; 0; 1; 3; 1983
Norway; Timon Haugan; Alpine Skiing; 0; 0; 1; 1; 1996
Finland; Noora Tulus; Ice Hockey; 0; 0; 1; 2; 1995
People's Republic of China; Yutong Han; Short Track Speed Skating; 0; 0; 1; 2; 1994
Canada; Abigail Strate; Ski Jumping; 0; 0; 1; 1; 2001
Canada; Geoff Walker; Curling; 0; 0; 1; 2; 1985
Finland; Sanni Rantala; Ice Hockey; 0; 0; 1; 1; 2002
Japan; Kokomo Murase; Snowboard; 0; 0; 1; 1; 2004
Sweden; Anna Hasselborg; Curling; 0; 0; 1; 2; 1989
Italy; Tommaso Dotti; Short Track Speed Skating; 0; 0; 1; 3; 1993
Germany; Constantin Schmid; Ski Jumping; 0; 0; 1; 1; 1999
Russian Olympic Committee; Tatyana Ivanova; Luge; 0; 0; 1; 3; 1991
Italy; Nadia Delago; Alpine Skiing; 0; 0; 1; 1; 1997
Canada; Brett Gallant; Curling; 0; 0; 1; 1; 1990
Canada; Justin Kripps; Bobsleigh; 0; 0; 1; 4; 1987
Germany; Christoph Hafer; Bobsleigh; 0; 0; 1; 1; 1992
Finland; Susanna Tapani; Ice Hockey; 0; 0; 1; 3; 1993
Norway; Rasmus Windingstad; Alpine Skiing; 0; 0; 1; 1; 1993
Finland; Emilia Vesa; Ice Hockey; 0; 0; 1; 1; 2001
Finland; Tanja Niskanen; Ice Hockey; 0; 0; 1; 2; 1992
Hungary; John-henry Krueger; Short Track Speed Skating; 0; 0; 1; 2; 1995
Sweden; Agnes Knochenhauer; Curling; 0; 0; 1; 1; 1989
Canada; Mark Nichols; Curling; 0; 0; 1; 2; 1980
Finland; Jenniina Nylund; Ice Hockey; 0; 0; 1; 1; 1999
Slovakia; Milos Roman; Ice Hockey; 0; 0; 1; 1; 1999
United States of America; Zachary Donohue; Figure skating; 0; 0; 1; 2; 1991
Finland; Petra Nieminen; Ice Hockey; 0; 0; 1; 2; 1999
France; Maurice Manificat; Cross Country Skiing; 0; 0; 1; 4; 1986
Austria; Lukas Greiderer; Nordic Combined; 0; 0; 1; 1; 1993
Slovakia; Marek Daloga; Ice Hockey; 0; 0; 1; 2; 1989
Slovakia; Peter Cehlarik; Ice Hockey; 0; 0; 1; 1; 1995
United States of America; Brittany Bowe; Speed skating; 0; 0; 1; 3; 1988
Finland; Minnamari Tuominen; Ice Hockey; 0; 0; 1; 4; 1990
Slovakia; Tomas Jurco; Ice Hockey; 0; 0; 1; 2; 1992
Norway; Sebastian Foss-solevaag; Alpine Skiing; 0; 0; 1; 1; 1991
Sweden; Jesper Tjader; Freestyle Skiing; 0; 0; 1; 3; 1994
Sweden; Ebba Andersson; Cross Country Skiing; 0; 0; 1; 2; 1997
Russian Olympic Committee; Aleksandr Galliamov; Figure skating; 0; 0; 1; 1; 
Estonia; Kelly Sildaru; Freestyle Skiing; 0; 0; 1; 1; 2002
Hungary; Petra Jaszapati; Short Track Speed Skating; 0; 0; 1; 2; 1998
Netherlands; Marijke Groenewoud; Speed skating; 0; 0; 1; 1; 1999
Japan; Yoshito Watabe; Nordic Combined; 0; 0; 1; 3; 1991
Finland; Sini Karjalainen; Ice Hockey; 0; 0; 1; 1; 1999